abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
1;25;2;0;2;0;2;0;2;0;2;0;101500038060250301;1015000380602503101;10150
1;10;2;0;2;0;2;0;2;0;2;0;101500038060250401;1015000380602504101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500038060250501;1015000380602505101;10150
1;15;2;0;2;0;2;0;2;0;2;0;101500038060250601;1015000380602506101;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500038060250701;1015000380602507101;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500039010260102;1015000390102601102;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500039010260202;1015000390102602102;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500039010260302;1015000390102603102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500039010260402;1015000390102604102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500039010260502;1015000390102605102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500039010260602;1015000390102606102;10150
1;10;2;0;2;0;2;0;2;0;2;0;101500039010260702;1015000390102607102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500039030410202;1015000390304102102;10150
2;0;2;0;2;0;2;0;1;60;2;0;101500039030410302;1015000390304103102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500039030410402;1015000390304104102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500039030410502;1015000390304105102;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500039030410802;1015000390304108102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500039030410902;1015000390304109102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500039030411002;1015000390304110102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500049010270103;1015000490102701103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500049010270203;1015000490102702103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500049010270303;1015000490102703103;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500049010270303;1015000490102703203;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500049010270403;1015000490102704103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500049010270603;1015000490102706103;10150
1;70;2;0;2;0;2;0;2;0;2;0;101500049010270703;1015000490102707103;10150
2;0;2;0;2;0;2;0;2;0;1;60;101500049010270803;1015000490102708103;10150
1;0;2;0;2;0;2;0;2;0;2;0;101500051010310102;1015000510103101102;10150
